Preferred,Non-Preferred
,OMVOH (mirikizumab-mrkz) pen 
, 
,RINVOQ (upadacitinib) tablet 
, 
,RINVOQ LQ (upadacitinib) solution
,SIMLANDI (adalimumab-ryvk) auto-injector 
, 
,"SIMPONI (golimumab) pen, syringe "
, 
,"SKYRIZI (risankizumab-rzaa) OnBody, pen, syringe  "
, 
,STELARA (ustekinumab) syringe 
, 
,VELSIPITY (etrasimod) tablet 
, 
,XELJANZ (tofacitinib) solution 
, 
,XELJANZ XR (tofacitinib ER) tablet 
, 
,YUFLYMA (adalimumab-aaty) auto-injector 
, 
,YUSIMRY (adalimumab-aqvh) pen 
, 
,"ZYMFENTRA (infliximab-dyyb) pen kit, syringe "
,kit 
, 
,Note: Product formulations in the physician administered drug (PAD) category are located on Appendix P
Preferred  ,Non-Preferred 
PA Required ,PA Required 
(*Must meet eligibility criteria), 
, 
,"NUCALA (mepolizumab) auto-injector, syringe"
"*DUPIXENT (dupilumab) pen, syringe ",Note: Product formulations in the physician administered drug (PAD) category are located on Appendix P
 ,
*FASENRA (benralizumab) pen  ,
 ,
*TEZSPIRE (tezepelumab-ekko) pen ,
 ,
"*XOLAIR (omalizumab) syringe, autoinjector",
Preferred  ,Non-Preferred 
 ,PA Required 
(*Must meet eligibility criteria) , 
 , 
"*ADBRY (tralokinumab-ldrm) syringe, autoinjector ",CIBINQO (abrocitinib) tablet 
 , 
"*DUPIXENT (dupilumab) pen, syringe",RINVOQ (upadacitinib) tablet
,Note: Product formulations in the physician administered drug (PAD) category are located on 
,Appendix P
Preferred  ,Non-Preferred 
"(If diagnosis met, No PA required) ",PA Required 
(Must meet eligibility criteria*) , 
 ,"ACTEMRA (tocilizumab) syringe, Actpen "
"*DUPIXENT (dupilumab) pen, syringe ", 
 ,ARCALYST (rilonacept) injection 
ENBREL (etanercept)  , 
 ,CIMZIA (certolizumab pegol) syringe 
*FASENRA (benralizumab) pen  , 
 ,"COSENTYX (secukinumab) syringe, pen-injector "
HUMIRA (adalimumab) , 
 ,"CYLTEZO (adalimumab-adbm) pen, syringe "
*KEVZARA (sarilumab) , 
 ,ILARIS (canakinumab) vial 
OTEZLA (apremilast) tablet , 
 ,KINERET (anakinra) syringe 
XELJANZ IR (tofacitinib) tablet , 
 ,"NUCALA (mepolizumab) auto-injector, syringe "
"*XOLAIR (omalizumab) syringe, autoinjector", 
,OLUMIANT (baricitinib) tablet 
, 
,YUFLYMA (adalimumab-aaty) auto-injector 
, 
,Note: Product formulations in the physician administered drug (PAD) category are located on 
,Appendix P
No PA Required ,PA Required 
Brand/generic changes effective , 
02/22/2024* ,AUVI-Q (epinephrine) auto-injector 
 , 
"*Epinephrine 0.15mg/0.15ml, ","Epinephrine 0.15mg/0.15ml, 0.3mg/0.3ml autoinjector (All other manufacturers; generic "
0.3mg/0.3ml auto-injector ,"Adrenaclick, Epipen) "
(Mylan only) , 
 ,"SYMJEPI 0.15mg/0.3ml, 0.3mg/0.3ml "
EPIPEN 0.3 mg/0.3 ml ,(epinephrine) syringe
(epinephrine) auto-injector ,Non-Preferred 
 , 
"EPIPEN JR 0.15 mg/0.15 ml, ",Prophylaxis: 
(epinephrine) auto-injector, 
Preferred ,ORLADEYO (berotralstat) oral capsule 
 , 
Prophylaxis: ,"TAKHZYRO (lanadelumab-flyo) syringe, vial"
 ,
CINRYZE (C1 esterase inhibitor) kit,
HAEGARDA (C1 esterase ,Treatment:  
inhibitor) vial , 
 ,Icatibant syringe (generic FIRAZYR) 
Treatment:  , 
 ,"RUCONEST (C1 estera se inhibitor, recomb) vial"
BERINERT (C1 esterase ,
"inhibitor) kit, vial  ",
 ,
FIRAZYR (icatibant acetate) syringe BNR,
No PA Required,PA Required
Calcium acetate capsule ,AURYXIA (ferric citrate) tablet 
 , 
PHOSLYRA (calcium acetate) solution ,Calcium acetate tablet 
 , 
"Sevelamer carbonate tablet, powder pack",CALPHRON (calcium acetate) tablet 
, 
,"FOSRENOL (lanthanum carbonate) chewable tablet, powder pack "
, 
,Lanthanum carbonate chewable tablet 
, 
,"RENVELA (sevelamer carbonate) powder pack, "
,tablet 
, 
,Sevelamer HCl  tablet  
, 
,VELPHORO (sucroferric oxide) chewable tablet 
, 
,XPHOZAH (tenapanor) tablet
No PA Required ,PA Required 
 , 
ALREXBNR (loteprednol) 0.2% ,ALAWAY (ketotifen) 0.025% (OTC) 
 , 
Azelastine 0.05% ,ALOCRIL (nedocromil) 2% 
 , 
Cromolyn 4% ,ALOMIDE (lodoxamide) 0.1% 
 , 
Ketotifen 0.025% (OTC) ,Bepotastine 1.5% 
 , 
LASTACAFT (alcaftadine) ,BEPREVE (bepotastine) 1.5%
0.25% (OTC),
"Olopatadine 0.1%, 0.2% (OTC) ",Epinastine 0.05% 
(generic Pataday Once/Twice , 
Daily),Loteprednol 0.2% 
No PA Required , 
 ,"Olopatadine 0.1%, 0.2% (RX) "
RESTASISBNR (cyclosporine , 
0.05%) vials,PATADAY ONCE DAILY (olopatadine) 0.2% (OTC) 
, 
,PATADAY TWICE DAILY (olopatadine) 0.1% (OTC) 
, 
,PATADAY XS ONCE DAILY (olopatadine) 0.7% (OTC) 
, 
,ZADITOR (ketotifen) 0.025% (OTC) 
, 
,ZERVIATE (cetirizine) 0.24%
,PA Required 
, 
,CEQUA (cyclosporine) 0.09% solution  
, 
,Cyclosporine 0.05% vials 
, 
,MIEBO (Perfluorohexyloctane/PF) 
, 
,RESTASIS MULTIDOSE (cyclosporine) 0.05% 
, 
,TYRVAYA (varenicline) nasal spray 
, 
,VERKAZIA (cyclosporin emulsion)  
, 
,VEVYE (cyclosporine) 0.1% 
, 
,XIIDRA (lifitegrast) 5% solution
No PA Required ,PA Required 
 , 
Diclofenac 0.1% ,"ACULAR (ketorolac) 0.5%, LS 0.4% "
 , 
Flurbiprofen 0.03% ,ACUVAIL (ketorolac/PF) 0.45% 
 , 
"Ketorolac 0.5%, Ketorolac LS ","Bromfenac 0.07%, 0.075%, 0.09% "
0.4% , 
 ,BROMSITE (bromfenac) 0.075% 
NEVANAC (nepafenac) 0.1%, 
No PA Required ,ILEVRO (nepafenac) 0.03% 
 , 
FLAREX (fluorometholone) ,PROLENSA (bromfenac) 0.07%
0.1% ,PA Required 
 , 
Fluorometholone 0.1% drops ,Dexamethasone 0.1% 
 , 
FML FORTE (fluorometholone) ,Difluprednate 0.05% 
0.25% drops , 
 ,DUREZOL (difluprednate) 0.05% 
LOTEMAXBNR (loteprednol) , 
"0.5% drops, gel ",EYSUVIS (loteprednol) 0.25% 
 , 
LOTEMAX (loteprednol) 0.5% ointment ,FML LIQUIFILM (fluorometholone) 0.1% drop 
 , 
MAXIDEX (dexamethasone) ,FML S.O.P (fluorometholone) 0.1% ointment 
0.1%, 
,INVELTYS (loteprednol) 1% 
, 
,LOTEMAX SM (loteprednol) 0.38% gel 
, 
,"Loteprednol 0.5% drops, 0.5% gel "
, 
,PRED FORTE (prednisolone) 1%
PRED MILD (prednisolone) ,Prednisolone sodium phosphate 1%
0.12% ,PA Required 
 , 
Prednisolone acetate 1%,Betaxolol 0.5% 
No PA Required , 
 ,"BETIMOL (timolol) 0.25%, 0.5% "
Carteolol 1% , 
 ,BETOPIC-S (betaxolol) 0.25% 
Levobunolol 0.5% , 
 ,ISTALOL (timolol) 0.5%  
Timolol (generic Timoptic) , 
"0.25%, 0.5%",Timolol (generic Istalol) 0.5% drops 
, 
,"Timolol GFS 0.25%, 0.5% "
, 
,"Timolol/PF (generic Timoptic Ocudose) 0.25%, "
,0.5% 
, 
,"TIMOPTIC, TIMOPTIC OCUDOSE (timolol) "
,"0.25%, 0.5% "
, 
,"TIMOPTIC-XE (timolol GFS) 0.25%, 0.5%"
No PA Required ,PA Required 
 , 
Brinzolamide 1% ,AZOPT (brinzolamide) 1%
 ,PA Required 
Dorzolamide 2%, 
No PA Required ,Bimatoprost 0.03% 
 , 
Latanoprost 0.005% ,IYUZEH (latanoprost/PF) 0.005% 
 , 
LUMIGANBNR (bimatoprost) ,Tafluprost 0.0015% 
0.01% , 
 ,Tafluprost PF 0.0015% 
TRAVATAN ZBNR (travoprost) , 
0.004%,Travoprost 0.004% 
No PA Required , 
 ,VYZULTA (latanoprostene) 0.024% 
"ALPHAGAN PBNR 0.1%, 0.15% ", 
(brimonidine) ,XALATAN (latanoprost) 0.005% 
 , 
Brimonidine 0.2%,XELPROS (latanoprost) 0.005% 
No PA Required, 
,ZIOPTAN (tafluprost PF) 0.0015%
,PA Required 
, 
,Apraclonidine 0.5% 
, 
,"Brimonidine 0.1%, 0.15% "
, 
,"IOPIDINE (apraclonidine) 0.5%, 1%"
,PA Required 
, 
,Brimonidine/Timolol 0.2%-0.5%
No PA Required ,PA Required 
 , 
Alfuzosin ER tablet ,AVODART (dutasteride) softgel 
 , 
Doxazosin tablet ,CARDURA (doxazosin) tablet 
 , 
Dutasteride capsule ,CARDURA XL (doxazosin ER) tablet 
 , 
Finasteride tablet ,"*CIALIS (tadalafil) 2.5 mg, 5 mg tablet "
 , 
Tamsulosin capsule ,Dutasteride/tamsulosin capsule 
 , 
Terazosin capsule,FLOMAX (tamsulosin) capsule 
, 
,PROSCAR (finasteride) tablet 
, 
,RAPAFLO (silodosin) capsule 
, 
,Silodosin capsule 
, 
,"*Tadalafil 2.5 mg, 5 mg tablet"
No PA Required ,PA Required 
 , 
"Allopurinol 100 mg, 300 mg ",Allopurinol 200 mg tablets 
tablets , 
 ,Colchicine capsule 
Colchicine tablet , 
 ,COLCRYS (colchicine) tablet 
Febuxostat tablet , 
 ,GLOPERBA (colchicine) oral solution  
Probenecid tablet , 
 ,MITIGARE (colchicine) capsule 
Probenecid/Colchicine tablet, 
,ULORIC (febuxostat) tablet
,XIII. RESPIRATORY
,Therapeutic Drug Class: RESPIRATORY AGENTS -Effective 1/1/2025
,Inhaled Anticholinergics
Preferred  ,Non-Preferred  
No PA Required ,PA Required 
(Unless indicated*) , 
 ,Solutions 
Solutions ,YUPELRI (revefenacin) solution 
Ipratropium solution  , 
 ,Short-Acting Inhalation Devices 
Short-Acting Inhalation Devices , 
ATROVENT HFA (ipratropium) ,Long-Acting Inhalation Devices 
 , 
Long-Acting Inhalation Devices ,INCRUSE ELLIPTA (umeclidinium) 
 , 
SPIRIVA HandihalerBNR ,Tiotropium DPI 
(tiotropium) , 
 ,TUDORZA PRESSAIR (aclidinium)
*SPIRIVA RESPIMAT ,Inhaled Anticholinergic Combinations
(tiotropium),PA Required 
,Solutions 
No PA Required , 
Solutions ,Short-Acting Inhalation Devices 
Ipratropium/Albuterol solution , 
 ,Long-Acting Inhalation Devices 
Short-Acting Inhalation Devices ,BEVESPI AEROSPHERE (glycopyrrolate 
COMBIVENT RESPIMAT ,/formoterol fumarate)  
(albuterol/ipratropium) , 
 ,BREZTRI AEROSPHERE 
Long-Acting Inhalation Devices,(budesonide/glycopyrrolate/ formoterol)
ANORO ELLIPTA ,DUAKLIR PRESSAIR (aclidinium/formoterol) 
(umeclidinium/vilanterol), 
,STIOLTO RESPIMAT (tiotropium/olodaterol)
No PA Required ,Inhaled Beta2 Agonists (short acting)
Solutions ,PA Required 
"Albuterol solution, for nebulizer ",Solutions 
 ,Levalbuterol solution 
Inhalers , 
VENTOLIN BNR HFA (albuterol),Inhalers 
,AIRSUPRA (budesonide/albuterol) 
Preferred  , 
 ,Albuterol HFA 
Solutions , 
 ,Levalbuterol HFA 
 , 
Inhalers ,PROAIR RESPICLICK (albuterol) 
SEREVENT DISKUS , 
(salmeterol) inhaler,XOPENEX (levalbuterol) Inhaler
,Inhaled Beta2 Agonists (long acting)
No PA Required ,Non-Preferred  
Solutions ,PA Required 
Budesonide nebules,Solutions 
,Arformoterol solution 
, 
,BROVANA (arformoterol) solution 
, 
,Formoterol solution 
, 
,PERFOROMIST (formoterol) solution 
, 
,Inhalers 
,STRIVERDI RESPIMAT (olodaterol)
,Inhaled Corticosteroids
,PA Required 
,Solutions 
,PULMICORT (budesonide) respules
Inhalers ,Inhalers 
ARNUITY ELLIPTA ,ALVESCO (ciclesonide) inhaler 
(fluticasone furoate) , 
 ,Fluticasone propionate diskus 
ASMANEX HFA (mometasone furoate) inhaler , 
 ,*Fluticasone propionate HFA
ASMANEX Twisthaler ,PA Required 
(mometasone)  , 
 ,BREO ELLIPTA (vilanterol/fluticasone furoate) 
PULMICORT FLEXHALER , 
(budesonide) ,Budesonide/formoterol (generic Symbicort) 
 , 
QVAR REDIHALER ,Fluticasone/salmeterol (generic Airduo/Advair Diskus) 
(beclomethasone), 
No PA Required ,Fluticasone/salmeterol HFA (generic Advair HFA) 
(*Must meet eligibility criteria) , 
 ,Fluticasone/vilanterol (generic Breo Ellipta) 
ADVAIR DISKUSBNR  , 
(fluticasone/salmeterol) ,WIXELA INHUB (fluticasone/salmeterol)
 ,PA Required 
ADVAIR HFABNR , 
(fluticasone/salmeterol) ,DALIRESP (roflumilast) tablet 
 , 
AIRDUO RESPICLICK BNR ,OHTUVAYRE (ensifentrine) suspension
(fluticasone/salmeterol) ,
 ,
DULERA ,
(mometasone/formoterol) ,
 ,
SYMBICORTBNR ,
(budesonide/formoterol) ,
inhaler ,
 ,
*TRELEGY ELLIPTA ,
(fluticasone furoate/ ,
umeclidinium/vilanterol),
No PA Required ,
 ,
Roflumilast tablet,
